"","species","stock","log_a_med","log_a_LCI","log_a_UCI","gamma_med","gamma_LCI","gamma_UCI","w_med","w_LCI","w_UCI","min_ESS","min_Rhat"
"25%...1","Sockeye","Atnarko-Sockeye",0.490219046596587,-0.185265275120135,1.17144363630384,0.5,0.221447740840914,0.778552259159086,0.0143269645290324,-0.688707565188987,0.684852059208794,1.02318346259525,Inf
"25%...2","Sockeye","Ayakulik-Sockeye",0.883841386744711,0.66041806420496,1.10646331745336,0.5,0.402296929123926,0.597703070876074,-0.00372799989772538,-0.623727938780909,0.609244635595013,1.00966691861679,Inf
"25%...3","Sockeye","Bear-Sockeye",2.2173874544284,1.87654275458168,2.55908411539558,0.5,0.397749415661575,0.602250584338425,0.014410960402129,-0.621827247815037,0.622438601798547,1.00617401181304,Inf
"25%...4","Sockeye","Black Lake-Sockeye",1.4276199936473,1.20908854396802,1.64868215665054,0.5,0.420453826053013,0.579546173946987,-0.0166647907010097,-0.647034870332447,0.575364472390371,1.00137078733903,Inf
"25%...5","Sockeye","Chignik Lake-Sockeye",1.98070819580793,1.83407031337349,2.12966681878332,0.5,0.441224873297734,0.558775126702266,-0.0193709445214239,-0.667556170789664,0.605127472381944,1.00524890470133,Inf
"25%...6","Sockeye","Chilkoot-Sockeye",1.40318955505971,0.971409765864345,1.81212564245853,0.5,0.308249445813539,0.691750554186461,0.0261009665034986,-0.600901924922079,0.629565745447078,1.0068047280945,Inf
"25%...7","Sockeye","Coghill-Sockeye",1.59693981694531,1.28646813388999,1.90754772254719,0.5,0.426887023815468,0.573112976184532,0.000712798131644086,-0.630925540742376,0.619457013004004,1.00597613570944,Inf
"25%...8","Sockeye","Copper-Sockeye",1.62221715010451,1.44513069840178,1.80412652768624,0.5,0.344611071744562,0.655388928255438,-0.0197242964324859,-0.724423063873741,0.669661767554859,1.00523032080409,Inf
"25%...9","Sockeye","Early Karluk-Sockeye",1.81377003539685,1.44988852254165,2.15080320520078,0.5,0.378442532463895,0.621557467536105,-0.00479208236181337,-0.618629172651777,0.621059764460015,1.062397889989,Inf
"25%...10","Sockeye","Early Upper Station-Sockeye",0.888509710598231,0.624792447429398,1.20882006674955,0.5,0.353587246935711,0.646412753064289,0.0087172836138729,-0.626814215088476,0.677147738468163,1.00521800057859,Inf
"25%...11","Sockeye","Eshamy-Sockeye",1.69582081180376,1.41241019443011,1.99974264358623,0.5,0.410061031802732,0.589938968197268,-0.0210578650381093,-0.656078341456351,0.621279660743171,1.01436866197589,Inf
"25%...12","Sockeye","Fennell-Sockeye",3.00854894516101,2.66603738979179,3.3210170384296,0.5,0.412373458389056,0.587626541610944,-0.0157231055462146,-0.659885376371847,0.643992196680735,1.00673119151681,Inf
"25%...13","Sockeye","Frazer-Sockeye",1.60485970116626,1.35236842838919,1.83960305106484,0.5,0.441546446059214,0.558453553940786,0.00583832936330667,-0.604552111783107,0.639862887612172,1.00501248266548,Inf
"25%...14","Sockeye","Goodnews-Sockeye",1.09716630292921,0.877593637913981,1.30044695759647,0.5,0.416769193932456,0.583230806067544,-0.0211953438735661,-0.657392483058368,0.584260350832313,1.00451611371516,Inf
"25%...15","Sockeye","Kasilof-Sockeye",1.70137895223205,1.56510105161025,1.86845740602411,0.5,0.416979325342162,0.583020674657838,-0.00757955155040932,-0.65241066673499,0.632936020281092,1.00807606634122,Inf
"25%...16","Sockeye","Kenai-Sockeye",1.73180242430437,1.47383125246072,1.91872993077028,0.5,0.357230740633484,0.642769259366516,0.0134199512164655,-0.738275927542399,0.748077691515477,1.00782454094978,Inf
"25%...17","Sockeye","Late Karluk-Sockeye",1.73804528359395,1.47694231020737,1.97667986154992,0.5,0.40966973741056,0.59033026258944,0.0337393327346968,-0.629604375075318,0.646122185316913,1.00495150942361,Inf
"25%...18","Sockeye","Late Upper Station-Sockeye",1.19122524069285,0.97045123259819,1.42102147932431,0.5,0.413588378670868,0.586411621329131,-0.00507340147905083,-0.594225947713339,0.608305069792721,1.00510796782334,Inf
"25%...19","Sockeye","Nass (Meziadin)-Sockeye",1.87260786740436,1.69322091714537,2.05797619520367,0.5,0.434345378355433,0.565654621644567,-0.0184307080641781,-0.632348418631046,0.585735370877216,1.00456995958617,Inf
"25%...20","Sockeye","Nelson-Sockeye",1.72575909450277,1.43881662507044,1.97417596193544,0.5,0.354538068577273,0.645461931422727,0.0177414159455791,-0.544891912278154,0.616801439433346,1.04265408878414,Inf
"25%...21","Sockeye","Owikeno-Sockeye",0.407885263065365,-0.160515460882915,0.978445716322225,0.5,0.375457103757212,0.624542896242788,-0.011101903719042,-0.624235349074271,0.595299825030188,1.00656335597582,Inf
"25%...22","Sockeye","Redoubt-Sockeye",1.58760943665048,1.07568728427549,2.01894096631294,0.5,0.342051747151043,0.657948252848957,0.0147927429663524,-0.58471317541849,0.64173114092584,1.00498275917433,Inf
"25%...23","Sockeye","Togiak-Sockeye",1.70603985229621,1.45147298141073,1.93486720225983,0.5,0.312763786422364,0.687236213577636,-0.00807114607957991,-0.625548636375173,0.612992907574595,1.00583956893661,Inf
"25%...24","Sockeye","Washington-Sockeye",0.371486951958667,0.107687323105654,0.65667771981167,0.5,0.437832542123845,0.562167457876155,-0.0382628926112894,-0.638801188848739,0.606994619490319,1.00940819916082,Inf
"25%...25","Sockeye","Early Stuart-Sockeye",1.97673547973859,1.72419067217971,2.21960121656184,0.5,0.413027923503702,0.586972076496298,-0.00042195806937839,-0.588805402090403,0.616700605973678,1.01626356923602,Inf
"25%...26","Sockeye","Late Stuart-Sockeye",1.45784916180599,1.00668421856705,1.94344757005005,0.5,0.379798367245797,0.620201632754203,-0.0092222555450839,-0.598178402039047,0.590207751844766,1.00740904343998,Inf
"25%...27","Sockeye","Stellako-Sockeye",2.39558265648471,1.97477152117368,2.79829370910094,0.5,0.351873971777241,0.648126028222759,-0.00880566344813635,-1.08330597172788,1.06251563062158,1.02559489173481,Inf
"25%...28","Sockeye","Bowron-Sockeye",2.14708503420042,1.91715200584196,2.37488354574162,0.5,0.458066801985864,0.541933198014136,0.000945564844787236,-0.629700771315033,0.633605145712285,1.00591281992509,Inf
"25%...29","Sockeye","Raft-Sockeye",2.32420197067477,2.06237313900557,2.59907751503255,0.5,0.423261031858269,0.576738968141731,-0.0139258344060443,-0.620134465763119,0.612970740054853,1.00862319032731,Inf
"25%...30","Sockeye","Quesnel-Sockeye",2.2927781066705,1.39305529783666,2.90089573347079,0.5,0.20622034600792,0.79377965399208,0.00820439532648978,-0.947613487028625,0.946979127070659,1.00497746627982,Inf
"25%...31","Sockeye","Chilko-Sockeye",2.56906709875481,2.33810470684684,2.7700186339336,0.5,0.433449879298341,0.566550120701659,-0.00440350972666158,-0.590802241600154,0.605984993224726,1.005409632064,Inf
"25%...32","Sockeye","Seymour-Sockeye",2.08509548395479,1.74534103341718,2.36787191942715,0.5,0.415015291000106,0.584984708999894,-0.0119716169780302,-0.662574652434633,0.64481933755188,1.00418147119976,Inf
"25%...33","Sockeye","Late Shuswap-Sockeye",2.02234179300912,1.73579209319065,2.32303782611634,0.5,0.431594747216859,0.568405252783141,-0.0123772910647734,-0.608239450277017,0.622590712772572,1.00742544585602,Inf
"25%...34","Sockeye","Birkenhead-Sockeye",2.44889425755904,2.09397427199728,2.7582810271282,0.5,0.435946911237771,0.564053088762229,0.0126953278119029,-0.63051415146753,0.627851355322297,1.01069267515475,Inf
"25%...35","Sockeye","Cultus-Sockeye",0.964760515970189,0.566305883867901,1.38712483188991,0.5,0.405927589756942,0.594072410243058,0.00919583017195645,-0.630471589030393,0.616031196819638,1.00571163551087,Inf
"25%...36","Sockeye","Portage-Sockeye",2.72149610714704,2.27981232951084,3.14565976476632,0.5,0.423064019830104,0.576935980169896,-0.021952558087041,-0.637922154332828,0.618984842056155,1.00823122325122,Inf
"25%...37","Sockeye","Weaver-Sockeye",2.67151935402925,2.35006709234142,2.97929501269295,0.5,0.45153527387153,0.54846472612847,0.000724162776026827,-0.651497026639387,0.599547120805377,1.00366978651385,Inf
"25%...38","Sockeye","North Barriere-Sockeye",2.74088174998306,2.28027159418632,3.1046880786848,0.5,0.398626940560813,0.601373059439187,0.0209296773527338,-0.625340719390115,0.662982551174398,1.00530227638769,Inf
"25%...39","Sockeye","Scotch-Sockeye",2.20643464752215,1.704409952336,2.66446125392648,0.5,0.399834748971499,0.600165251028501,0.00110558142996247,-0.760592018979078,0.76081110552373,1.00601147311332,Inf
"25%...40","Sockeye","Gates-Sockeye",2.94860839492936,2.37071328142019,3.45566698209671,0.5,0.31429997189726,0.68570002810274,-0.00909330430460803,-0.669417778332564,0.685420052583464,1.01193845646848,Inf
"25%...41","Sockeye","Nadina-Sockeye",2.05108673974875,1.57964383214393,2.42252494678029,0.5,0.353038255398863,0.646961744601137,0.013260897368351,-0.640427787365317,0.674154909190567,1.00628882225946,Inf
"25%...42","Sockeye","Pitt-Sockeye",2.22776436970022,1.96734814490278,2.46007265231433,0.5,0.423207261053271,0.576792738946729,-0.00344556339245569,-0.661493726905428,0.664267820760771,1.00673419916675,Inf
"25%...43","Sockeye","Harrison-Sockeye",2.06034076703409,1.58214127311081,2.5035139141249,0.5,0.40825200190675,0.59174799809325,0.0252379063301867,-0.615924521477032,0.626369528119193,1.00868581763523,Inf
"25%...44","Sockeye","Misc. Early Shuswap-Sockeye",1.20667714759907,0.348776529463142,1.99187804557029,0.5,0.232510074433956,0.767489925566044,-0.0091312844207787,-0.596939850627795,0.581785408326143,1.00548423757339,Inf
"25%...45","Sockeye","Misc. Taseko-Sockeye",2.26743336964647,1.62874253730084,2.765052008564,0.5,0.13844588198105,0.86155411801895,0.0197168086310523,-0.629409291270395,0.659140612029957,1.0151025471606,Inf
"25%...46","Sockeye","Misc. Chilliwack-Sockeye",0.956198618154363,0.0331672305581221,1.86485613839081,0.5,0.178114696761912,0.821885303238088,0.00484866653273112,-0.66782460098089,0.668354633885351,1.00441588019579,Inf
"25%...47","Sockeye","Misc. N. Thompson Main.-Sockeye",2.56325614496231,1.11794389088358,3.62551557803384,0.5,0.127528051339435,0.872471948660565,0.0351079447582287,-0.78197366731254,0.833660463981759,1.02410470078288,Inf
"25%...48","Sockeye","Misc. N. Thompson Tribs.-Sockeye",1.49095106249524,0.470221822229015,2.14604214371311,0.5,0.107310382034237,0.892689617965763,-0.0238840552348745,-0.632454454477133,0.60645970859809,1.01435154007927,Inf
"25%...49","Sockeye","Misc. Widgeon-Sockeye",1.93475452233874,0.84960709567768,2.8492113792063,0.5,0.0245163295567485,0.975483670443252,-0.00228181249622768,-0.721489717761465,0.705554845702085,1.11440387031026,Inf
